item_id,Question,Chapter,Keyword,Correct Answer,Choices,VidioLink
1,Keterkaitan semua subsistem iklim yang berbeda tetapi saling berinteraksi dan terintegrasi disebut sebagai,Iklim dan Perubahan Iklim,"Pengantar Cuaca dan Iklim, definisi cuaca dan iklim",Sistem Iklim,"[""Sistem Iklim"", ""Cuaca"", ""Sistem cuaca"", ""Siklus perubahan iklim""]",https://drive.google.com/file/d/1ILuFGXWZ8IRl9kzTAw-LS-cGI5VJKDc8/view?usp=drive_link
2,Parameter cuaca yang menjadi pembeda utama antara wilayah tropis dengan wilayah subtropis dan kutub adalah,Iklim dan Perubahan Iklim,"Pengantar Cuaca dan Iklim, definisi cuaca dan iklim",Temperatur,"[""Tekanan"",""Kelembaban relatif"", ""Temperatur"", ""Curah hujan""]",https://drive.google.com/file/d/1ILuFGXWZ8IRl9kzTAw-LS-cGI5VJKDc8/view?usp=drive_link
3,"Radiasi matahari yang masuk ke dalam sistem bumi akan ditransmisikan, direfleksikan, diabsorpsi, dibiaskan, dan dihamburkan oleh partikel yang ada di atmosfer. Rasio antara radiasi yang diserap dan yang diterima disebut sebagai",Iklim dan Perubahan Iklim,"Pengantar Cuaca dan Iklim, Komponen cuaca dan iklim (suhu, curah hujan, kelembapan, angin)",Absorptivitas,"[""Albedo"", ""Absorptivitas"", ""Reflektivitas"", ""Transmisivitas""]",https://drive.google.com/file/d/1ILuFGXWZ8IRl9kzTAw-LS-cGI5VJKDc8/view?usp=drive_link
4,"Atmosfer terdiri atas tiga komponen, yaitu uap air, udara kering, dan",Iklim dan Perubahan Iklim,"Pengantar Cuaca dan Iklim, struktur dan komposisi atmosfer",Aerosol,"[""Awan"", ""Aerosol"",""Argon"", ""Gas permanen""]",https://drive.google.com/file/d/1ILuFGXWZ8IRl9kzTAw-LS-cGI5VJKDc8/view?usp=drive_link
5,Kondisi atmosfer dapat dikatakan stabil apabila,Iklim dan Perubahan Iklim,Pengantar Cuaca dan Iklim,Dry Adiabatic Lapse Rate > Environmental Adiabatic Lapse Rate,"[""Dry Adiabatic Lapse Rate = Environmental Adiabatic Lapse Rate"", ""Wet Adiabatic Lapse Rate = Dry Adiabatic Lapse Rate"", ""Wet Adiabatic Lapse Rate < Environmental Adiabatic Lapse Rate"", ""Dry Adiabatic Lapse Rate > Environmental Adiabatic Lapse Rate""]",https://drive.google.com/file/d/1ILuFGXWZ8IRl9kzTAw-LS-cGI5VJKDc8/view?usp=drive_link
6,"Di bawah ini merupakan bentuk konservasi lahan untuk usaha pertanian, kecuali",Iklim dan Perubahan Iklim,Sirkulasi Atmosfer,Contouring,"[""Crop rotation"", ""Contouring"", ""Agroforestri"", ""Tanam terpadu""]
",https://drive.google.com/file/d/1ILuFGXWZ8IRl9kzTAw-LS-cGI5VJKDc8/view?usp=drive_link
7,Gaya Coriolis akan membelokkan angin yang bergerak di belahan bumi utara ke arah,Iklim dan Perubahan Iklim,Sirkulasi Atmosfer,Kanan,"[""Kiri"", ""Kanan"", ""Tegak lurus isoterm"", ""Memutar""]",https://drive.google.com/file/d/1ILuFGXWZ8IRl9kzTAw-LS-cGI5VJKDc8/view?usp=drive_link
8,Angin muson merupakan salah satu penentu dari keadaan cuaca dan iklim di Indonesia. Salah satu ciri dari angin muson adalah,Iklim dan Perubahan Iklim,Sirkulasi Atmosfer,Kecepatan angin minimal 3 meter per detik,"[""Angin berbalik arah 18⁰"", ""Kecepatan angin minimal 3 meter per detik"", ""Persistensi rata-rata arah angin utama 30%"", ""Pola tekanan berubah-ubah dengan cepat""]",https://drive.google.com/file/d/1ILuFGXWZ8IRl9kzTAw-LS-cGI5VJKDc8/view?usp=drive_link
9,Hujan yang terjadi di daerah pegunungan biasanya diakibatkan oleh massa udara yang melewati salah satu sisi gunung dan membawa banyak uap air. Hujan yang terjadi di wilayah pegunungan disebut sebagai jenis hujan,Iklim dan Perubahan Iklim,Sirkulasi Atmosfer,Orografis,"[""Konvektif"", ""Orografis"", ""Konvergensi"", ""Frontal""]",https://drive.google.com/file/d/1ILuFGXWZ8IRl9kzTAw-LS-cGI5VJKDc8/view?usp=drive_link
10,Bangkok yang akan menjadi tuan rumah IGeo 2025 memiliki klasifikasi iklim Koppen berupa,Iklim dan Perubahan Iklim,Klasifikasi Iklim,Aw,"[""Aw"", ""Bs"", ""C"", ""Cfa""]",https://drive.google.com/file/d/1ILuFGXWZ8IRl9kzTAw-LS-cGI5VJKDc8/view?usp=drive_link
